,PLAYER,NATIONALITY,TYPE,PRICE,SOLD/UNSOLD,TEAM,YEAR,bat inns,bat ave,dot%,bat sr,bowl inns,econ,wickets
0,Robin Uthappa,Indian,Batsman,20.0,1,Chennai Super Kings,2022,8.0,33.9,31.7,150.6,,,
1,Dwayne Bravo,Overseas,All-Rounder,44.0,1,Chennai Super Kings,2022,9.0,32.0,37.8,142.2,17.0,8.44,23.0
2,Ambati Rayudu,Indian,Wicket Keeper,67.5,1,Chennai Super Kings,2022,16.0,26.7,32.5,155.3,,,
3,Deepak Chahar,Indian,Bowler,140.0,1,Chennai Super Kings,2022,3.0,9.0,27.3,81.8,17.0,8.5,14.0
4,Hari Nishaanth,Indian,Batsman,2.0,1,Chennai Super Kings,2022,7.0,39.8,38.1,135.4,1.0,8.4,0.0
5,N. Jagadeesan,Indian,Wicket Keeper,2.0,1,Chennai Super Kings,2022,12.0,36.7,40.3,120.3,,,
6,K.M. Asif,Indian,Bowler,2.0,1,Chennai Super Kings,2022,,,,,,,
7,Tushar Deshpande,Indian,Bowler,2.0,1,Chennai Super Kings,2022,1.0,,40.0,100.0,2.0,13.57,2.0
8,Shivam Dube,Indian,All-Rounder,40.0,1,Chennai Super Kings,2022,13.0,35.5,35.7,130.3,8.0,8.18,3.0
9,Chris Jordan,Overseas,All-Rounder,36.0,1,Chennai Super Kings,2022,11.0,23.2,31.9,147.9,27.0,8.45,24.0
10,Maheesh Theekshana,Overseas,Bowler,7.0,1,Chennai Super Kings,2022,2.0,1.0,83.3,33.3,10.0,6.87,16.0
11,Rajvardhan Hangargekar,Indian,All-Rounder,15.0,1,Chennai Super Kings,2022,,,,,,,
12,Simarjeet Singh,Indian,Bowler,2.0,1,Chennai Super Kings,2022,,,,,,,
13,Devon Conway,Overseas,Batsman,10.0,1,Chennai Super Kings,2022,20.0,54.3,32.1,129.0,,,
14,Dwaine Pretorius,Overseas,All-Rounder,5.0,1,Chennai Super Kings,2022,,,,,,,
15,Mitchell Santner,Overseas,All-Rounder,19.0,1,Chennai Super Kings,2022,5.0,18.2,32.0,146.0,5.0,9.11,2.0
16,Adam Milne,Overseas,Bowler,19.0,1,Chennai Super Kings,2022,7.0,7.5,37.5,125.0,25.0,7.39,26.0
17,Subhranshu Senapati,Indian,Batsman,2.0,1,Chennai Super Kings,2022,4.0,19.8,33.8,116.2,,,
18,Mukesh Choudhary,Indian,Bowler,2.0,1,Chennai Super Kings,2022,,,,,,,
19,Prashant Solanki,Indian,Bowler,12.0,1,Chennai Super Kings,2022,,,,,,,
20,K.Bhagath Varma,Indian,All-Rounder,2.0,1,Chennai Super Kings,2022,,,,,,,
21,David Warner,Overseas,Batsman,62.5,1,Delhi Capitals,2022,8.0,24.4,44.2,107.7,,,
22,Mitchell Marsh,Overseas,All-Rounder,65.0,1,Delhi Capitals,2022,14.0,57.6,29.1,154.2,7.0,8.4,6.0
23,Mustafizur Rahman,Overseas,Bowler,20.0,1,Delhi Capitals,2022,3.0,,78.6,57.1,14.0,8.36,14.0
24,Shardul Thakur,Indian,Bowler,107.5,1,Delhi Capitals,2022,4.0,2.5,40.0,100.0,16.0,8.81,21.0
25,Kuldeep Yadav,Indian,Bowler,20.0,1,Delhi Capitals,2022,,,,,,,
26,Ashwin Hebbar,Indian,Batsman,2.0,1,Delhi Capitals,2022,3.0,22.0,44.6,106.0,2.0,14.2,0.0
27,Sarfaraz Khan,Indian,All-Rounder,2.0,1,Delhi Capitals,2022,6.0,14.2,35.5,137.1,1.0,3.0,0.0
28,Kamlesh Nagarkoti,Indian,All-Rounder,11.0,1,Delhi Capitals,2022,1.0,0.0,100.0,0.0,3.0,8.6,2.0
