LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDPHRWKD,TOT,IDX2015,A,2001,83.746965,
AUS,GDPHRWKD,TOT,IDX2015,A,2002,85.015035,
AUS,GDPHRWKD,TOT,IDX2015,A,2003,86.971034,
AUS,GDPHRWKD,TOT,IDX2015,A,2004,86.684826,
AUS,GDPHRWKD,TOT,IDX2015,A,2005,86.983829,
AUS,GDPHRWKD,TOT,IDX2015,A,2006,87.42353,
AUS,GDPHRWKD,TOT,IDX2015,A,2007,88.411503,
AUS,GDPHRWKD,TOT,IDX2015,A,2008,91.456608,
AUS,GDPHRWKD,TOT,IDX2015,A,2009,90.665463,
AUS,GDPHRWKD,TOT,IDX2015,A,2010,92.166362,
AUS,GDPHRWKD,TOT,IDX2015,A,2011,93.250113,
AUS,GDPHRWKD,TOT,IDX2015,A,2012,95.4977,
AUS,GDPHRWKD,TOT,IDX2015,A,2013,97.122744,
AUS,GDPHRWKD,TOT,IDX2015,A,2014,97.551885,
AUS,GDPHRWKD,TOT,IDX2015,A,2015,100,
AUS,GDPHRWKD,TOT,IDX2015,A,2016,99.728309,
AUS,GDPHRWKD,TOT,IDX2015,A,2017,100.854561,
AUS,GDPHRWKD,TOT,IDX2015,A,2018,100.811475,E
AUS,GDPHRWKD,TOT,IDX2015,A,2019,102.079521,E
AUS,GDPHRWKD,TOT,IDX2015,A,2020,103.12824,E
AUT,GDPHRWKD,TOT,IDX2015,A,2001,84.042707,
AUT,GDPHRWKD,TOT,IDX2015,A,2002,85.615532,
AUT,GDPHRWKD,TOT,IDX2015,A,2003,86.329189,
AUT,GDPHRWKD,TOT,IDX2015,A,2004,87.979271,
AUT,GDPHRWKD,TOT,IDX2015,A,2005,90.135954,
AUT,GDPHRWKD,TOT,IDX2015,A,2006,92.494362,
AUT,GDPHRWKD,TOT,IDX2015,A,2007,94.86588,
AUT,GDPHRWKD,TOT,IDX2015,A,2008,94.866485,
AUT,GDPHRWKD,TOT,IDX2015,A,2009,94.195928,
AUT,GDPHRWKD,TOT,IDX2015,A,2010,95.57564,
AUT,GDPHRWKD,TOT,IDX2015,A,2011,96.55155,
AUT,GDPHRWKD,TOT,IDX2015,A,2012,97.588568,
AUT,GDPHRWKD,TOT,IDX2015,A,2013,98.235449,
AUT,GDPHRWKD,TOT,IDX2015,A,2014,98.602214,
AUT,GDPHRWKD,TOT,IDX2015,A,2015,100,
AUT,GDPHRWKD,TOT,IDX2015,A,2016,99.877092,
AUT,GDPHRWKD,TOT,IDX2015,A,2017,101.087913,
AUT,GDPHRWKD,TOT,IDX2015,A,2018,101.624302,
AUT,GDPHRWKD,TOT,IDX2015,A,2019,101.500177,
AUT,GDPHRWKD,TOT,IDX2015,A,2020,103.705325,
BEL,GDPHRWKD,TOT,IDX2015,A,2001,88.309445,
BEL,GDPHRWKD,TOT,IDX2015,A,2002,88.915037,
BEL,GDPHRWKD,TOT,IDX2015,A,2003,89.66458,
BEL,GDPHRWKD,TOT,IDX2015,A,2004,92.561794,
BEL,GDPHRWKD,TOT,IDX2015,A,2005,93.971437,
BEL,GDPHRWKD,TOT,IDX2015,A,2006,94.459137,
BEL,GDPHRWKD,TOT,IDX2015,A,2007,96.205262,
BEL,GDPHRWKD,TOT,IDX2015,A,2008,95.614367,
BEL,GDPHRWKD,TOT,IDX2015,A,2009,94.994876,
BEL,GDPHRWKD,TOT,IDX2015,A,2010,96.437346,
BEL,GDPHRWKD,TOT,IDX2015,A,2011,95.778661,
BEL,GDPHRWKD,TOT,IDX2015,A,2012,96.255207,
BEL,GDPHRWKD,TOT,IDX2015,A,2013,97.085446,
BEL,GDPHRWKD,TOT,IDX2015,A,2014,98.476362,
BEL,GDPHRWKD,TOT,IDX2015,A,2015,100,
BEL,GDPHRWKD,TOT,IDX2015,A,2016,100.097921,
BEL,GDPHRWKD,TOT,IDX2015,A,2017,99.90136,
BEL,GDPHRWKD,TOT,IDX2015,A,2018,100.133328,
BEL,GDPHRWKD,TOT,IDX2015,A,2019,100.85839,
BEL,GDPHRWKD,TOT,IDX2015,A,2020,104.026553,
CAN,GDPHRWKD,TOT,IDX2015,A,2001,88.130139,
CAN,GDPHRWKD,TOT,IDX2015,A,2002,89.559951,
CAN,GDPHRWKD,TOT,IDX2015,A,2003,89.782582,
