"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2016",0.33,
"AUS","INCOMEINEQ","GINI","INEQ","A","2018",0.325,
"AUT","INCOMEINEQ","GINI","INEQ","A","2016",0.284,
"AUT","INCOMEINEQ","GINI","INEQ","A","2017",0.275,
"AUT","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2019",0.274,
"BEL","INCOMEINEQ","GINI","INEQ","A","2018",0.258,
"BEL","INCOMEINEQ","GINI","INEQ","A","2019",0.262,
"CAN","INCOMEINEQ","GINI","INEQ","A","2016",0.307,
"CAN","INCOMEINEQ","GINI","INEQ","A","2017",0.31,
"CAN","INCOMEINEQ","GINI","INEQ","A","2018",0.303,
"CAN","INCOMEINEQ","GINI","INEQ","A","2019",0.301,
"CZE","INCOMEINEQ","GINI","INEQ","A","2016",0.253,
"CZE","INCOMEINEQ","GINI","INEQ","A","2017",0.249,
"CZE","INCOMEINEQ","GINI","INEQ","A","2018",0.249,
"CZE","INCOMEINEQ","GINI","INEQ","A","2019",0.248,
"DNK","INCOMEINEQ","GINI","INEQ","A","2016",0.261,
"DNK","INCOMEINEQ","GINI","INEQ","A","2017",0.264,
"DNK","INCOMEINEQ","GINI","INEQ","A","2018",0.263,
"FIN","INCOMEINEQ","GINI","INEQ","A","2016",0.259,
"FIN","INCOMEINEQ","GINI","INEQ","A","2017",0.266,
"FIN","INCOMEINEQ","GINI","INEQ","A","2018",0.269,
"FRA","INCOMEINEQ","GINI","INEQ","A","2016",0.291,
"FRA","INCOMEINEQ","GINI","INEQ","A","2017",0.292,
"FRA","INCOMEINEQ","GINI","INEQ","A","2018",0.301,
"FRA","INCOMEINEQ","GINI","INEQ","A","2019",0.292,
"DEU","INCOMEINEQ","GINI","INEQ","A","2016",0.294,
"DEU","INCOMEINEQ","GINI","INEQ","A","2017",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2018",0.289,
"GRC","INCOMEINEQ","GINI","INEQ","A","2016",0.333,
"GRC","INCOMEINEQ","GINI","INEQ","A","2017",0.319,
"GRC","INCOMEINEQ","GINI","INEQ","A","2018",0.306,
"GRC","INCOMEINEQ","GINI","INEQ","A","2019",0.308,
"HUN","INCOMEINEQ","GINI","INEQ","A","2016",0.28,
"HUN","INCOMEINEQ","GINI","INEQ","A","2017",0.289,
"HUN","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"HUN","INCOMEINEQ","GINI","INEQ","A","2019",0.286,
"ISL","INCOMEINEQ","GINI","INEQ","A","2016",0.264,
"ISL","INCOMEINEQ","GINI","INEQ","A","2017",0.25,
"IRL","INCOMEINEQ","GINI","INEQ","A","2016",0.309,
"IRL","INCOMEINEQ","GINI","INEQ","A","2017",0.295,
"IRL","INCOMEINEQ","GINI","INEQ","A","2018",0.292,
"ITA","INCOMEINEQ","GINI","INEQ","A","2016",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2017",0.334,
"ITA","INCOMEINEQ","GINI","INEQ","A","2018",0.33,
"JPN","INCOMEINEQ","GINI","INEQ","A","2018",0.334,
"KOR","INCOMEINEQ","GINI","INEQ","A","2016",0.355,
"KOR","INCOMEINEQ","GINI","INEQ","A","2017",0.354,
"KOR","INCOMEINEQ","GINI","INEQ","A","2018",0.345,
"LUX","INCOMEINEQ","GINI","INEQ","A","2016",0.305,
"LUX","INCOMEINEQ","GINI","INEQ","A","2017",0.327,
"LUX","INCOMEINEQ","GINI","INEQ","A","2018",0.318,
"LUX","INCOMEINEQ","GINI","INEQ","A","2019",0.305,
"MEX","INCOMEINEQ","GINI","INEQ","A","2016",0.458,
"MEX","INCOMEINEQ","GINI","INEQ","A","2018",0.418,
"NLD","INCOMEINEQ","GINI","INEQ","A","2016",0.292,
"NLD","INCOMEINEQ","GINI","INEQ","A","2017",0.298,
"NLD","INCOMEINEQ","GINI","INEQ","A","2018",0.295,
"NLD","INCOMEINEQ","GINI","INEQ","A","2019",0.296,"P"
"NOR","INCOMEINEQ","GINI","INEQ","A","2016",0.262,
"NOR","INCOMEINEQ","GINI","INEQ","A","2017",0.262,
"NOR","INCOMEINEQ","GINI","INEQ","A","2018",0.262,
"NOR","INCOMEINEQ","GINI","INEQ","A","2019",0.261,
"POL","INCOMEINEQ","GINI","INEQ","A","2016",0.285,
"POL","INCOMEINEQ","GINI","INEQ","A","2017",0.275,
"POL","INCOMEINEQ","GINI","INEQ","A","2018",0.281,
"PRT","INCOMEINEQ","GINI","INEQ","A","2016",0.331,
"PRT","INCOMEINEQ","GINI","INEQ","A","2017",0.32,
"PRT","INCOMEINEQ","GINI","INEQ","A","2018",0.317,
"PRT","INCOMEINEQ","GINI","INEQ","A","2019",0.31,
"SVK","INCOMEINEQ","GINI","INEQ","A","2016",0.241,
"SVK","INCOMEINEQ","GINI","INEQ","A","2017",0.22,
"SVK","INCOMEINEQ","GINI","INEQ","A","2018",0.236,
"SVK","INCOMEINEQ","GINI","INEQ","A","2019",0.222,"P"
"ESP","INCOMEINEQ","GINI","INEQ","A","2016",0.341,
"ESP","INCOMEINEQ","GINI","INEQ","A","2017",0.333,
"ESP","INCOMEINEQ","GINI","INEQ","A","2018",0.33,
"ESP","INCOMEINEQ","GINI","INEQ","A","2019",0.32,
"SWE","INCOMEINEQ","GINI","INEQ","A","2016",0.282,
"SWE","INCOMEINEQ","GINI","INEQ","A","2017",0.282,
"SWE","INCOMEINEQ","GINI","INEQ","A","2018",0.275,
"SWE","INCOMEINEQ","GINI","INEQ","A","2019",0.28,
"CHE","INCOMEINEQ","GINI","INEQ","A","2016",0.302,
"CHE","INCOMEINEQ","GINI","INEQ","A","2017",0.299,
"CHE","INCOMEINEQ","GINI","INEQ","A","2018",0.311,
"TUR","INCOMEINEQ","GINI","INEQ","A","2017",0.409,
"TUR","INCOMEINEQ","GINI","INEQ","A","2018",0.397,
"GBR","INCOMEINEQ","GINI","INEQ","A","2016",0.351,
"GBR","INCOMEINEQ","GINI","INEQ","A","2017",0.357,
"GBR","INCOMEINEQ","GINI","INEQ","A","2018",0.366,
"GBR","INCOMEINEQ","GINI","INEQ","A","2019",0.366,
"USA","INCOMEINEQ","GINI","INEQ","A","2016",0.391,
"USA","INCOMEINEQ","GINI","INEQ","A","2017",0.39,
"USA","INCOMEINEQ","GINI","INEQ","A","2018",0.393,
"USA","INCOMEINEQ","GINI","INEQ","A","2019",0.395,
"CHL","INCOMEINEQ","GINI","INEQ","A","2017",0.46,
"EST","INCOMEINEQ","GINI","INEQ","A","2016",0.314,
