Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Afghanistan,2018,2.694,7.692,0.508,52.600,0.374,-0.094,0.928,0.424,0.405
Albania,2018,5.004,9.518,0.684,68.700,0.824,0.009,0.899,0.713,0.319
Algeria,2018,5.043,9.348,0.799,65.900,0.583,-0.146,0.759,0.591,0.293
Argentina,2018,5.793,10.032,0.900,68.800,0.846,-0.211,0.855,0.820,0.321
Armenia,2018,5.062,9.451,0.814,66.900,0.808,-0.163,0.677,0.581,0.455
Australia,2018,7.177,10.811,0.940,73.600,0.916,0.146,0.405,0.759,0.187
Austria,2018,7.396,10.928,0.912,73.000,0.904,0.053,0.523,0.752,0.226
Azerbaijan,2018,5.168,9.562,0.781,65.500,0.772,-0.232,0.561,0.593,0.191
Bangladesh,2018,4.499,8.399,0.706,64.300,0.901,-0.043,0.701,0.541,0.361
Belarus,2018,5.234,9.846,0.905,66.100,0.644,-0.174,0.718,0.450,0.236
Belgium,2018,6.892,10.844,0.930,72.000,0.808,-0.125,0.630,0.750,0.250
Benin,2018,5.820,8.059,0.504,54.300,0.713,0.002,0.747,0.647,0.468
Bolivia,2018,5.916,9.066,0.827,63.600,0.863,-0.093,0.786,0.742,0.387
Bosnia and Herzegovina,2018,5.887,9.576,0.836,67.800,0.659,0.123,0.913,0.643,0.277
Botswana,2018,3.461,9.778,0.795,58.900,0.818,-0.254,0.807,0.730,0.267
Brazil,2018,6.191,9.589,0.882,66.400,0.751,-0.117,0.763,0.750,0.350
Bulgaria,2018,5.099,10.007,0.924,66.800,0.724,-0.176,0.952,0.639,0.189
Burkina Faso,2018,4.927,7.665,0.665,53.900,0.721,-0.013,0.757,0.711,0.343
Burundi,2018,3.775,6.635,0.485,53.400,0.646,-0.024,0.599,0.666,0.363
Cambodia,2018,5.122,8.333,0.795,61.600,0.958,0.036,,0.845,0.414
Cameroon,2018,5.251,8.190,0.677,52.700,0.816,0.036,0.884,0.642,0.356
Canada,2018,7.175,10.798,0.923,73.600,0.946,0.106,0.372,0.824,0.259
Chad,2018,4.486,7.363,0.577,48.200,0.650,0.024,0.763,0.553,0.544
Chile,2018,6.436,10.097,0.890,69.900,0.789,-0.060,0.816,0.833,0.276
China,2018,5.131,9.632,0.788,69.300,0.895,-0.159,,0.856,0.190
Colombia,2018,5.984,9.579,0.871,67.700,0.851,-0.148,0.855,0.825,0.301
Comoros,2018,3.973,8.028,0.621,57.200,0.560,0.086,0.794,0.748,0.337
Congo (Brazzaville),2018,5.490,8.136,0.621,57.900,0.699,-0.092,0.738,0.588,0.448
Costa Rica,2018,7.141,9.874,0.876,71.300,0.942,-0.107,0.781,0.870,0.326
Croatia,2018,5.536,10.224,0.910,70.200,0.691,-0.151,0.925,0.582,0.290
Cyprus,2018,6.276,10.567,0.826,73.700,0.794,-0.022,0.848,0.750,0.298
Czech Republic,2018,7.034,10.583,0.929,70.300,0.790,-0.292,0.851,0.714,0.178
Denmark,2018,7.649,10.935,0.958,72.400,0.935,0.018,0.151,0.821,0.206
Dominican Republic,2018,5.433,9.782,0.862,65.800,0.867,-0.150,0.762,0.745,0.291
Ecuador,2018,6.128,9.355,0.851,68.500,0.869,-0.099,0.831,0.876,0.328
Egypt,2018,4.005,9.338,0.759,61.700,0.682,-0.215,,0.492,0.285
El Salvador,2018,6.241,9.061,0.820,66.100,0.863,-0.095,0.801,0.860,0.270
Estonia,2018,6.091,10.472,0.933,68.600,0.886,-0.141,0.621,0.795,0.163
Ethiopia,2018,4.379,7.651,0.740,58.500,0.740,0.039,0.799,0.660,0.272
Finland,2018,7.858,10.783,0.962,71.900,0.938,-0.127,0.199,0.782,0.182
France,2018,6.666,10.727,0.921,73.800,0.816,-0.138,0.582,0.767,0.282
Gabon,2018,4.783,9.599,0.785,59.700,0.719,-0.197,0.823,0.641,0.418
Gambia,2018,4.922,7.671,0.685,55.000,0.719,0.440,0.691,0.804,0.379
Georgia,2018,4.659,9.565,0.617,64.500,0.775,-0.233,0.755,0.573,0.244
Germany,2018,7.118,10.890,0.920,72.200,0.877,0.034,0.496,0.780,0.243
Ghana,2018,5.004,8.555,0.761,57.200,0.817,0.062,0.846,0.747,0.250
Greece,2018,5.409,10.299,0.794,72.400,0.564,-0.335,0.860,0.666,0.255
Guatemala,2018,6.627,9.042,0.841,64.800,0.910,-0.010,0.765,0.871,0.262
Guinea,2018,5.252,7.823,0.630,54.400,0.731,0.092,0.778,0.744,0.440
Haiti,2018,3.615,7.477,0.538,55.700,0.591,0.422,0.720,0.584,0.359
